New file created: 27.09.2014 0:00:49
Author: Kim Viacheslav

Кнопка "Продлить сессию" была нажата.
27.09.2014 0:00:      В форме "Продлить сессию" были введены данные в поле Оплачено = 50 сом. Оплаченное время = 0:30, на приставку 6, с Карточкой Usual Client
27.09.2014 10:47:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 10:47:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 10:47:      В форме "Добавить сессию" было загружено клиент с карточкой.
27.09.2014 10:48:      Данные 70 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 10:48:      В форме "Добавить сессию" были введены данные в поле Оплачено = 70 сом. Оплаченное время = 01:00:00, на приставку 1, с Карточкой 0
27.09.2014 10:57:      кнопка "Закрыть сессию" была нажата.
27.09.2014 10:58:      кнопка "Закрыть сессию" была нажата.
27.09.2014 11:21:      кнопка "Продать товар" была нажата.
27.09.2014 11:21:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Вода 0,5л в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 11:21:      кнопка "Затраты" была нажата.
27.09.2014 11:21:      кнопка "Бар" была нажата.
27.09.2014 17:05:      кнопка "Добавить сессию" была нажата.
27.09.2014 17:05:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 17:05:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 17:05:      В форме "Добавить сессию" было загружено клиент с карточкой.
27.09.2014 17:05:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 17:05:      Данные 55 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 17:05:      Данные 55 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 17:05:      В форме "Добавить сессию" были введены данные в поле Оплачено = 55 сом. Оплаченное время = 00:36:00, на приставку 7, с Карточкой 0
27.09.2014 17:06:      кнопка "Закрыть сессию" была нажата.
27.09.2014 17:06:      В форме "Закрыть" была нажата кнопка "Клиент ушел раньше времени" 
27.09.2014 17:53:      кнопка "Добавить сессию" была нажата.
27.09.2014 17:53:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 17:53:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 17:53:      В форме "Добавить сессию" было загружено клиент с карточкой.
27.09.2014 17:53:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 17:53:      Данные 100 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 17:53:      В форме "Добавить сессию" были введены данные в поле Оплачено = 100 сом. Оплаченное время = 01:00:00, на приставку 8, с Карточкой 0
27.09.2014 18:12:      кнопка "Добавить сессию" была нажата.
27.09.2014 18:12:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 18:12:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 18:12:      В форме "Добавить сессию" было загружено клиент с карточкой.
27.09.2014 18:13:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 18:13:      Данные 93 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 18:13:      В форме "Добавить сессию" были введены данные в поле Оплачено = 93 сом. Оплаченное время = 01:00:00, на приставку 2, с Карточкой 0
27.09.2014 20:13:      кнопка "Добавить сессию" была нажата.
27.09.2014 20:13:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 20:13:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 20:13:      В форме "Добавить сессию" было загружено клиент с карточкой.
27.09.2014 20:13:      Данные 150 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 20:20:      кнопка "Добавить сессию" была нажата.
27.09.2014 20:20:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 20:20:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 20:20:      В форме "Добавить сессию" было загружено клиент с карточкой.
27.09.2014 20:20:      Данные 160 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 20:20:      Данные 36 в форме "Добавить сессию"  в поле "Остаток минут" были введены.
27.09.2014 20:20:      Данные 160 в форме "Добавить сессию"  в поле "Оплачено" были введены.
27.09.2014 20:20:      Данные 100 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 20:20:      Кнопка "Закрыть" в форме "Добавить сессию" была нажата.
27.09.2014 20:20:      кнопка "Скрытая кнопка" была нажата.
